LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
3.7344201,51.0408343,155,Gustaaf Callierlaan,,Gent,,,9000,,b611cad1f6038e56
5.5595508,50.9405267,2,Kempenseweg,,Zutendaal,,,3690,,935df1b6d166fd8f
4.4271813,51.1840703,87,Strijdhoflaan,,Antwerpen,,,2600,,9036f3d5b49d027c
3.6180672,50.7455227,2,Paul-Henri Spaakstraat,,Ronse,,,9600,,7a610f9bb5efdec4
5.1941798,50.8094566,56,Festraetsstraat,,Sint-Truiden,,,3800,,31394373b40ab43a
3.0203066,50.8452078,91,Wervikstraat,,Zonnebeke,,,8980,,cf6a2061f6b0eafd
4.1623986,51.1624993,14,Seringenstraat,,Sint-Niklaas,,,9100,,b7e4e8566664fe4c
3.9650271,50.9285556,10,Evenbroekveld,,Erpe-Mere,,,9420,,3e85d80713696929
3.1886678,51.2038396,31,Gruitstraat,,Brugge,,,8200,,a66559a31ec7b311
4.5340955,50.7745734,74,Brusselsesteenweg,,Overijse,,,3090,,875b91fdb1461a1c
5.465575,50.7836084,26B,Elfde-Novemberwal,,Tongeren,,,3700,,c307c7786ddba4d2
4.4952617,50.8762855,199,Sint-Martinusweg,,Zaventem,,,1930,,783c37220f08c2ea
3.2931592,51.3521613,86,Dumortierlaan,,Knokke-Heist,,,8300,,d02359e52744a0ee
4.3461511,50.8197397,60A,Verbindingslaan,,Vorst,,,1190,,f2193a660098f15e
4.3930203,50.8744898,132,Lindestraat,,Schaarbeek,,,1030,,97c019d1b6c8f30a
4.4556664,51.180016,7,Graaf d'Urselstraat,,Mortsel,,,2640,,11ec33fb7cb41bd3
4.3886559,50.8580878,36,Henri Stacquetstraat,,Schaarbeek,,,1030,,06d8e5e12fa0901a
4.4193216,51.2197722,9,Van Arteveldestraat,,Antwerpen,,,2060,,c4f0985ede25cd2e
3.257628,50.9940994,16,Cassanderusstraat,,Pittem,,,8740,,7489eef61116854a
4.9801899,51.314117,61,Steenweg op Sevendonk,,Oud-Turnhout,,,2360,,8e0340790fc6c49f
5.1432369,50.8194281,7B,Hendrik Prijslaan,,Sint-Truiden,,,3803,,ae9062b7d5a1674e
4.4804321,50.9411676,24,Huinhovenstraat,,Vilvoorde,,,1800,,b5960e1dc3d26094
4.425907,51.4329688,42,Zonnedauwlaan,,Essen,,,2910,,f88d7e4aaad0248e
4.01544,50.7787523,161,Rijstraat,,Ninove,,,9400,,b42a590cbf5eb9db
3.2747631,50.8234464,132,Zwevegemsestraat,,Kortrijk,,,8500,,c65b2310bae77253
4.497093,51.2524493,89,Gelmelenstraat,,Schoten,,,2900,,e20b39a52edb9163
4.1358077,51.1611409,11,Beekstraat,,Sint-Niklaas,,,9100,,c99979e75fe604f2
3.5982264,50.7468328,39,Fabriekstraat,,Ronse,,,9600,,981c6b9425fbbdee
4.6964696,50.8615002,67,Hertogstraat,,Leuven,,,3001,,fd7467ed8bedfc3c
3.258502,51.3433699,12,Vossenhul,,Knokke-Heist,,,8301,,2b244a8d5f0c1d05
4.0613153,50.9548734,38,Heidestraat,,Aalst,,,9300,,53b8957734b4527d
4.589181,50.8789969,28,Hulstbergstraat,,Kortenberg,,,3078,,1eb1c361777e4970
4.3332147,51.1102987,46,Achturenplein,,Niel,,,2845,,bbf124b90789cf6c
3.4431302,50.9134642,62,Knokstraat,,Zulte,,,9870,,f72d3a13795541fe
3.2647575,50.7621606,119,Tombroekstraat,,Kortrijk,,,8510,,714e7c9b00b0babd
3.4432287,50.8931017,46,Albert Servaeslaan,,Waregem,,,8790,,6df37226f6b1bb9a
3.0091637,50.9769198,22,Tulpenweg,,Staden,,,8840,,0c7a28a44ec14bea
4.3360633,50.8142659,105,Maarschalk Joffrelaan,,Vorst,,,1190,,e9ae29402e1409d7
4.4718363,51.242579,1,Vic Meesstraat,,Schoten,,,2900,,6adb71a77f917db1
4.7313926,51.2009167,26,Kerkeveldstraat,,Grobbendonk,,,2280,,8c3e3caad65aea7e
4.4115317,51.2149958,52,Tabakvest,,Antwerpen,,,2000,,6f350f25ff5c4565
4.3515578,50.8249335,75,Spanjestraat,,Sint-Gillis,,,1060,,62c01d106ee845ea
4.4749536,51.2296733,23,André Hermanslaan,,Antwerpen,,,2100,,98b126bc2107e8fb
3.446714,50.7694494,21,Meersstraat,,Avelgem,,,8580,,a4c026d31c044328
4.4579293,51.2717766,79,Kapelsesteenweg,,Antwerpen,,,2180,,bc358cbb110dbb70
4.3281002,50.8913178,170,Avenue Jean-Baptiste Depaire,,Bruxelles,,,1020,,bca8ac27e2d172da
3.6346714,50.9576014,15,Biesten,,Nazareth,,,9810,,a01c185317890fff
5.5951962,50.8835823,110,Gellikerweg,,Lanaken,,,3620,,64918e8ef63f4e03
3.6070565,50.7358729,158,Stooktstraat,,Ronse,,,9600,,3f17a1d719809432
2.6781965,51.1348976,20,F. Timmermanslaan,,Koksijde,,,8670,,0b20b478a45cb5d6
5.4171335,50.9099104,34,Kapelstraat,,Diepenbeek,,,3590,,5eaa32aeabad97fb
4.7059804,51.2769519,39,Turfstraat,,Zoersel,,,2980,,023e5d39e3add321
4.3518622,51.0627486,100,Emiel Vanderveldestraat,,Willebroek,,,2830,,2c1bde38d76de848
3.2324491,51.2140549,4,Ropeerdstraat,,Brugge,,,8000,,8ed22886c59b6bc5
5.2919437,51.222261,37,Kraaistraat,,Lommel,,,3920,,1e57b3663834ed0d
4.1769379,50.9724975,47,Klaarstraat,,Opwijk,,,1745,,7d78b46248de731c
4.3644657,50.8989217,46,Avenue de la Bugrane,,Bruxelles,,,1020,,ef09482ee3e7b968
3.6805095,51.0727133,561,Brugsesteenweg,,Gent,,,9030,,cc29bd95b05837df
4.5171376,51.0882693,69,Katelijnsesteenweg,,Duffel,,,2570,,1c00f5e36041c81f
4.8505675,50.9951661,17,Godshertogestraat,,Aarschot,,,3200,,c379a725c54b4c9d
3.5999942,50.7403514,49,Molendam,,Ronse,,,9600,,0bf4a6a48c6ae2ae
3.1539041,51.1861121,43,Zeeweg,,Jabbeke,,,8490,,6fb97a49b017ca83
3.8588762,50.9191582,3,Kloosterstraat,,Sint-Lievens-Houtem,,,9520,,fd05e53663382b01
4.8507308,51.2468566,29,Dingdongen,,Lille,,,2275,,26c70cafd73d2e1c
4.3713996,50.8650351,1,Rue Renkin,,Schaerbeek,,,1030,,25f1561e1e2002c6
4.3862813,50.9394766,56,Poddegemstraat,,Grimbergen,,,1850,,253f8ef659f1e307
4.2148467,50.9288997,30,Beneden Vrijlegem,,Asse,,,1730,,89b17a946e06e10b
4.4581956,51.2474943,105,Oudebareellei,,Antwerpen,,,2170,,1900735e4b1787c5
4.3165246,50.8372113,7,Avenue Raymond Vander Bruggen,,Anderlecht,,,1070,,d02aea371339523a
4.5203513,51.0933811,62,Hoogstraat,,Duffel,,,2570,,3ac9926bc45cd3c2
5.1198636,51.0719997,5,Waterbroek,,Tessenderlo,,,3980,,125d36b294088318
4.4036715,50.8092309,33,Place Eugène Keym,,Watermael-Boitsfort,,,1170,,5caf79a9b976ab6b
4.3695739,51.1863908,61,Weerstandlaan_HO,,Antwerpen,,,2660,,bf226fe7eba9a28c
3.7242555,51.0398155,26,Kattenberg,,Gent,,,9000,,7d5c01aa766e002c
