LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
2.3169142,48.7870842,24,rue ferdinand jamin,,Bourg-la-Reine,,,92340,,6300474f8713fd87
3.7109308,43.5007447,9,rue du milieu,,Gigean,,,34770,,1fadc6f0adaed629
-0.99437,44.6465296,12,chemin de lartigue,,Biganos,,,33380,,80f764c4ac45fc44
-3.2667666,47.7109451,32,kerplevert,,Merlevenez,,,56700,,a7bd15c83c69d639
6.3702825,43.4892795,451,chemin de vaussière,,Lorgues,,,83510,,001f7bedb99745a8
7.3205333,47.8007732,69,rue des mines,,Wittenheim,,,68270,,8564649e8220030c
6.0489536,49.2610562,3,rue louise michel,,Moyeuvre-Grande,,,57250,,1089d27d30798e0a
1.5547624,47.2624923,13,rue du 31 août 1944,,Selles-sur-Cher,,,41130,,3fc4fec73e6f098a
2.2173838,49.5678726,16,rue de crevecoeur,,Froissy,,,60480,,c9c3a070adb99e88
1.2489618,48.4522056,8,rue albert camus,,Courville-sur-Eure,,,28190,,e17f8f4dce4fecbb
-3.4490437,48.6002827,20,hent kompagnon dall,,Le Vieux-Marché,,,22420,,b7d06540c8850dcf
0.5973075,45.51875,5000,,,Lussas-et-Nontronneau,,,24300,,f91efad726d200ca
2.5007152,48.6997776,14,rue du réveillon,,Brunoy,,,91800,,05b7926e9ff31772
2.31697,48.7932248,137,rue des blains,,Bagneux,,,92220,,97584ccc165a753e
-1.2032853,48.1562003,412,,,Balazé,,,35500,,b0b64b7591378191
-0.1964995,44.7224867,8,rue yvonne de la seiglière,,Baigneaux,,,33760,,622397e59b699705
4.9527022,43.826011,9,rue des filioles,,Saint-Andiol,,,13670,,917689897b55a66f
2.4889445,49.2582272,107,avenue léonard de vinci,,Creil,,,60100,,1972f3d73ac34884
-2.4677467,48.6268399,35,rue castelnau,,Erquy,,,22430,,599cc13f155de18d
5.6566404,46.2560394,6,rue du muret,,Oyonnax,,,01100,,bef4883db949db06
2.2918084,48.7499716,5,rue des hautes bièvres,,Antony,,,92160,,449e619d7a577ad8
1.4760138,47.3444036,4,rue de couddes,,Chémery,,,41700,,804c57536a10ac53
-0.8119035,46.7325519,5879,la citardière,,Montournais,,,85700,,e309db3cbdb51cfd
7.1788574,43.6743191,1284,chemin des plateaux fleuris,,Saint-Laurent-du-Var,,,06700,,c961099e67ca46f4
2.1286068,43.5277936,2,impasse du ségares/le ségares,,Lescout,,,81110,,c32f48edc0e487e1
0.4420091,46.8861584,5346,,,Saint-Gervais-les-Trois-Clochers,,,86230,,db6c6b86e9efc28a
0.8315807,44.1322919,5063,,,Lamagistère,,,82360,,39624bf769285647
2.3312384,49.3289783,115,rue rené fevre,,Angy,,,60250,,94a1f63dc1a71390
1.5513651,48.5159865,16,avenue des parigaudes,,Jouy,,,28300,,5bab53bcd0f02403
-4.4186625,47.967394,5141,gorrequer,,Plozévet,,,29710,,12cd5e45f209ea03
-0.2310346,44.6728053,103,laubarit,,Saint-Pierre-de-Bat,,,33760,,d43a922616fec090
3.6606446,43.4131705,25,rue de la madrague,,Sète,,,34200,,b2420b83039064a2
1.5058837,43.6077807,25,le clos du bois,,Balma,,,31130,,cf54db59c23be0cb
-1.1076672,47.479671,91,rue de la noue,,Maumusson,,,44540,,d6bae41b69533d3e
5.4164381,43.2791033,12,boulevard rouvier,,Marseille 10e Arrondissement,,,13010,,9fb63f369a364fbb
1.474018,43.5517436,4,allée des coquelicots,,Ramonville-Saint-Agne,,,31520,,d562ac2052a715b8
-0.0983432,47.259553,7,impasse de la lyre,,Saumur,,,49400,,b1118663201661e7
2.5752011,48.8717039,8,rue agent schoenfeld,,Chelles,,,77500,,f82e8c0d3585ffac
-0.5256306,49.1091061,30,rue de la douiterie,,Bougy,,,14210,,6001f5434c059e39
1.462391,48.1853186,24,rue des écoles,,Pré-Saint-Évroult,,,28800,,50a377de4c42ae12
2.532955,49.5936737,4,chemin de la vallée,,Dompierre,,,60420,,40b0c0c841436bd6
-3.0034345,47.7753447,2,hent trez,,Pluvigner,,,56330,,779206f9a0cb0d2d
-0.1868674,45.0467933,7,rue de nicole,,Guîtres,,,33230,,8269af7ce58dc882
7.0213109,43.5524677,56,rue d'antibes,,Cannes,,,06400,,dc46d2cc1c9a9cdc
-61.6541997,16.2446619,40,lotissement la roziÃ¨re,,Lamentin,,,97129,,69e147a3001e14e8
0.731816,49.5247976,26,avenue du latham 47,,Rives-en-Seine,,,76490,,68764e216b42cc9c
0.1488957,43.064713,22,rue victor hugo,,Bagnères-de-Bigorre,,,65200,,c00bd4af571793c7
1.6103487,50.7768005,8,rue jean bart,,Wimereux,,,62930,,ee89f6b46fe58fe4
3.1759142,50.7034613,54,rue labruyère,,Roubaix,,,59100,,d3224cdf0c62eb45
7.1639041,43.658219,18,avenue général leclerc,,Cagnes-sur-Mer,,,06800,,8449e22745e79cb8
-0.2717207,44.5559718,30,allée du petit parc,,Toulenne,,,33210,,2d7ecda1f783b2f9
5.605459,46.2189838,305,rue des montaines,,Groissiat,,,01100,,d94578b751ae711c
-0.3242949,49.2014263,122,rue des enfants,,Hérouville-Saint-Clair,,,14200,,74ca1dc6fd1e615c
1.3459843,47.2854789,113,route de saint-aignan,,Mareuil-sur-Cher,,,41110,,c73a35d6528b77de
1.9786139,42.4163789,24,rue des jardins,,Osséja,,,66340,,32f3c75ffd817367
-1.5673317,46.4167529,26,rue des vanneaux,,Jard-sur-Mer,,,85520,,df4291153138d4d0
55.6138914,-20.918419,8,chemin eucalyptus,,Sainte-Suzanne,,,97441,,f1e527ff3b4b7647
-3.3802209,47.7244443,18,rue des bruyères,,Larmor-Plage,,,56260,,847a38c5ec0f9a27
-2.9843378,48.2041958,27,rue des ardoisiers (mur-de-bretagne),,Guerlédan,,,22530,,9ebf795915da8dfb
4.9549754,44.007239,308,rue des cyprès,,Althen-des-Paluds,,,84210,,793621e41148050d
2.3777435,48.6843932,23,rue jean jaurès,,Viry-Châtillon,,,91170,,407e0f1bba0d615d
6.3461377,48.616622,11,boulevard des pyrénées,,Dombasle-sur-Meurthe,,,54110,,45c3bf4d86b8b003
7.0736485,47.8444628,3,rue du vieil armand,,Willer-sur-Thur,,,68760,,13840383f608e49f
1.0966152,49.8847425,84,rue du frêne,,Rouxmesnil-Bouteilles,,,76370,,b04b2c2ae1674176
5.3989643,43.313314,32,boulevard velten,,Marseille 4e Arrondissement,,,13004,,8e9a55d0fa604896
6.6330636,46.3591488,337,route du pardon,,Saint-Paul-en-Chablais,,,74500,,594d5b0485e2db6a
-3.5480253,47.8706015,10,rue brouzic,,Quimperlé,,,29300,,76ca7d6984ccde4e
5.2202641,46.6031523,1790,route de patran,,Bruailles,,,71500,,5425e4365cf2cbdd
0.2306032,46.4635396,3,route de vivonne,,Marçay,,,86370,,aea9be45466d9912
-0.849229,47.2871682,5264,rue nationale (sainte-christine),,Chemillé-en-Anjou,,,49120,,3f8cb62719d2a14a
4.3835501,45.774909,5311,,,Chambost-Longessaigne,,,69770,,969dc607af548afb
6.3754104,46.2672793,59,chemin de la boutassière,,Bons-en-Chablais,,,74890,,6dd74e9c64d414fa
3.8404171,50.1994249,8,rue de l'hôtel de ville,,Aulnoye-Aymeries,,,59620,,2c30468153bcb9c5
4.0428644,49.2285016,207,rue ledru rollin,,Reims,,,51100,,ec07793f190ab2e6
0.9931193,44.8539683,5,,,Coux et Bigaroque-Mouzens,,,24220,,49e882f337c3b70d
1.0359121,49.8706807,60,rue jacques lanty,,Offranville,,,76550,,bd45a48b88709b09
1.3838431,47.3558832,1565,route de thésée,,Couddes,,,41700,,d41e504a16a5875f
2.3161247,49.904476,79,rue milton,,Amiens,,,80000,,924e8dc1ded242d0
6.2313949,44.104241,25,avenue gaston boyer,,Digne-les-Bains,,,04000,,6c46a0b73e7b7bdb
3.312723,50.4477361,1150,rue de bouteau,,Beuvry-la-Forêt,,,59310,,40fda8f140053379
4.0447803,50.3304889,19,rue de maubeuge,,Vieux-Reng,,,59600,,82bc07f12c588fce
0.3348364,47.9098535,22,rue des bleuets,,Brette-les-Pins,,,72250,,623682f64e36575b
3.1234611,50.7808442,38,rue jean fievet,,Halluin,,,59250,,063b9b356abe2420
-1.2099409,49.4326813,26,la dune,,Saint-Martin-de-Varreville,,,50480,,3592ce0fbb888232
4.2603685,45.6070441,5679,lotissement les coteaux du bourg,,Cuzieu,,,42330,,00830bf966639ab2
-3.289856,48.0443834,5013,guern ihuel,,Lignol,,,56160,,03ca05dff0f3ed9c
-3.5758549,48.7740053,16,rue de bonne nouvelle,,Trébeurden,,,22560,,238851c8bd4bb418
5.7876137,46.3894317,22,rue de fourger,,Lavans-lès-Saint-Claude,,,39170,,bab977a46c933631
7.3675112,48.1027618,,RUE LAVOISIER,,COLMAR,,,,,d6cc952e83e05580
2.3120788,48.8731349,61,rue la boétie,,Paris 8e Arrondissement,,,75008,,e7e86fdc8fdb6327
3.8009937,43.6970888,34,allée des bergeronettes,,Saint-Gély-du-Fesc,,,34980,,8e98b922aa23c2a6
2.2537236,48.5832557,12,chemin des berges,,La Norville,,,91290,,4b0f3f3818e5c153
0.0289216,46.5450982,7,puybergault,,Benassay,,,86470,,eb36572513190f2f
-2.7444166,48.5074652,23,rue jean mermoz,,Saint-Brieuc,,,22000,,cc561ab9044e2d17
7.2968372,43.7160245,66,avenue milon de veraillon,,Nice,,,06300,,0aa664a6978cae89
2.6173166,43.8589863,5161,le mazieu,,Pousthomy,,,12380,,8ba19634d23ecf5d
3.3892595,48.0576745,7,rue de la jamauderie,,Dixmont,,,89500,,1b4aed6e8b495973
3.4568742,44.9212651,5055,le menial,,Grèzes,,,43170,,6e3288b9a6888c88
4.5314658,45.848224,170,route de la gare,,Saint-Romain-de-Popey,,,69490,,36237993827234f8
2.7032578,42.7717351,867,lous padreguets,,Estagel,,,66310,,b1ffd32520029916
-1.3251053,47.00424,4,le palnais,,Saint-Hilaire-de-Loulay,,,85600,,7f11820c9ccba2df
2.2107439,49.493348,18,rue de l'horloge,,Lafraye,,,60510,,619e71d43d53cbb3
-0.171232,45.6793992,26,rue maurice laporte bisquit,,Jarnac,,,16200,,4a1bdfac626d4d93
6.4408344,47.6440022,2,impasse du tilleul,,Vy-lès-Lure,,,70200,,d22779422d2ce61b
3.2487348,50.6793112,3,rue michelet,,Leers,,,59115,,b2ebae742aade55d
1.8811298,47.8629918,453,rue de navrin,,Olivet,,,45160,,35ba5cee6445fe54
-0.1435742,47.3608525,9007,,,Longué-Jumelles,,,49160,,1c45db2490f14806
3.8572848,44.2463893,5008,lavit,,Saint-Hilaire-de-Lavit,,,48160,,b61de6a2af4fef5d
2.9057942,42.6675693,273,avenue albert einstein,,Perpignan,,,66100,,8dbf49c775f444f3
-1.408478,48.1028873,5,rue des sternes,,Châteaubourg,,,35220,,a663573825035a10
-4.5199942,48.4039573,7,rue de kerguerec,,Brest,,,29200,,08f60b7c5d0b4464
6.1277561,48.7914801,30,rue de metz,,Custines,,,54670,,305219b5247dbe64
4.9101474,45.7291328,25,avenue des sports,,Bron,,,69500,,c6628496b94282bb
2.5716806,48.8719189,39,avenue martyrs de chelles,,Chelles,,,77500,,31daeb22b057fdd4
1.3713117,47.7973966,12,rue de la vacherie,,Saint-Léonard-en-Beauce,,,41370,,c6a9932819a7e23b
2.5374114,50.7728055,14,route d'hondeghem,,Saint-Sylvestre-Cappel,,,59114,,4cb70413a18cb89a
-61.3396722,16.2488896,5013,,,Sainte-Anne,,,97180,,82bb6f1487dfed1e
2.5622037,50.519154,40,rue de l'égalité,,Labeuvrière,,,62122,,6bac4433628a93d5
-0.3755373,48.4350104,5222,la hardrière,,Chevaigné-du-Maine,,,53250,,1c5864fc55d4ccf5
3.5166024,47.9628827,23,avenue des tilleuls,,Migennes,,,89400,,d36a8c20688db6bb
-0.4898603,49.1445333,1026,route de bretagne,,Mouen,,,14790,,91698520a1a9c007
7.2598248,48.0893438,,DOLCHEN,,TURCKHEIM,,,,,d827e4b465a5069a
2.1920283,48.8513891,56,rue du 19 janvier,,Garches,,,92380,,47fb52dad5705cb3
1.1230713,49.4345721,30,rue du progrès,,Rouen,,,76000,,dff1efe200b6fbbe
-0.3403423,46.7883995,3,,,Chiché,,,79350,,0eef0fc10ec8ddd9
2.1515494,43.9127112,7,chemin des coquelicots,,Albi,,,81000,,3298e1d7ef4f3da0
-1.0145755,46.6730858,108,rue des gabardières,,Chantonnay,,,85110,,a4508c39a3d2b314
-0.3527672,43.3047563,21,avenue des lilas,,Pau,,,64000,,9e8bad3025217ec6
2.4290645,44.2769284,95,rue de l'arbre de lagarde,,Baraqueville,,,12160,,27ca5ba5ab19dd63
4.1654558,46.9546078,5416,,,La Grande-Verrière,,,71990,,5885b7908871fe3d
