LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
6.0036965,49.506806,96,Cité Emile Mayrisch,,Schifflange,,,3855,93835,54f00c1c5414aeb6
5.9756166,49.4975658,28,Rue Léon Weirich,,Esch-sur-Alzette,,,4348,67392,cd500702a6fa69d0
5.9322089,49.5236673,64,Rue de Differdange,,Soleuvre,,,4437,91579,804233b42fe6e72f
6.0929151,49.4855024,132,Rue du Parc,,Dudelange,,,3542,57650,f9eddd4d088cbdf7
6.1603016,49.6236189,103,Rue des Muguets,,Luxembourg,,,2167,16417,038dda5af9214626
6.12209,49.6527227,15,Rue Michel Rodange,,Bereldange,,,7248,115155,0546d1cfc881ed94
5.7910763,49.8519012,29,Rue Principale,,Bigonville,,,8814,141792,82a629a8aacc0fcf
5.8275233,49.5476347,17,Rue Eugene Huberty,,Rodange,,,4822,81838,aff891d1ccf6aae9
6.0195959,49.5077507,19,Rue de Noertzange,,Schifflange,,,3860,95202,d13a7a165e1a60e0
5.886005,49.5210795,27,Rue de la Montagne,,Differdange,,,4630,48238,238b2fe1973368f8
6.0168161,49.5451328,40,Rue des Trois Cantons,,Ehlange,,,3961,82473,5bc9e9c148fd4c74
6.0950942,49.4863069,23,Rue Dr Welter,,Dudelange,,,3595,57234,daaa84d49bb70f09
6.243336,49.7704654,22,Am Duerf,,Heffingen,,,7651,119743,ba950d4ba6f78792
6.2488437,49.5321501,5,Am Felteseck,,Filsdorf,,,5741,205342,4a7e003e8325fa85
6.0091004,49.5053626,48,Avenue de la Libération,,Schifflange,,,3850,93538,dff7f922f209b9e5
5.9210078,49.5714306,2,Cité Bommelscheuer,,Hautcharage,,,4953,28637,3def06fa06fa50c4
6.1296832,50.0363002,38,Haaptstrooss,,Rodershausen,,,9839,184093,71106f0472cb1dc0
5.9020813,49.9233695,8,An der Driicht,,Kaundorf,,,9662,226278,12536adac08759a1
6.0977091,49.833341,31,Route de Luxembourg,,Schieren,,,9125,139516,aaafa827f58ffbaa
6.1531839,49.5970901,259,Rue d'Itzig,,Luxembourg,,,1815,9081,6f48ccedf94d9dfb
5.964882,49.8297327,2B,Rue de Wiltz,,Grosbous,,,9154,205401,e62489e5974e08f5
6.2375807,49.6905851,1,Groebierg,,Gonderange,,,6181,163980,d08ae995fd7caffc
